symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ICOSLG	-0.22894	6.7359	-1.8498	0.099022	0.24449	-5.3927
ARHGEF7	0.21614	7.7712	1.8492	0.099115	0.24465	-5.3936
PAK4	-0.21867	6.7882	-1.8487	0.099189	0.24477	-5.3943
MCAT	-0.22467	7.2033	-1.8481	0.09929	0.24494	-5.3952
RAB36	0.15623	4.688	1.8476	0.099368	0.24507	-5.396
PTPRN2	-0.18104	4.363	-1.846	0.099613	0.2456	-5.3983
LCMT2	-0.20346	4.1134	-1.8444	0.099867	0.24616	-5.4006
C4orf6	-0.17182	2.9965	-1.8442	0.099896	0.24616	-5.4009
DNAJC3	0.51276	5.5415	1.8415	0.10033	0.24715	-5.4049
FAM208A	-0.37846	6.4491	-1.8411	0.10039	0.24724	-5.4055
CD74	-0.28138	11.794	-1.8407	0.10044	0.24728	-5.4059
TAF4B	0.18923	2.6597	1.84	0.10056	0.24748	-5.407
STIL	0.33469	2.9743	1.8399	0.10058	0.24748	-5.4072
COL9A3	-0.21812	3.9779	-1.8391	0.1007	0.24771	-5.4084
DNM3	-0.23666	3.0618	-1.8389	0.10073	0.24771	-5.4086
VPS13A	0.31103	3.3342	1.8386	0.10077	0.24772	-5.409
SNAPC5	-0.38617	5.5973	-1.8385	0.10079	0.24772	-5.4092
MUC1	0.24142	6.3187	1.8378	0.1009	0.24793	-5.4102
IFI35	-0.3745	7.825	-1.8371	0.10101	0.24806	-5.4112
CLDN10	0.14447	4.9916	1.8371	0.10101	0.24806	-5.4112
MAF	-1.0689	7.2508	-1.8348	0.10137	0.24888	-5.4146
PRKG1	0.15241	2.3822	1.8342	0.10148	0.24903	-5.4155
MINOS1P1	-0.26253	3.3886	-1.8341	0.10149	0.24903	-5.4157
CRYAB	0.29494	4.8767	1.8335	0.10158	0.24916	-5.4164
CCNO	-0.15443	3.4141	-1.8329	0.10167	0.24933	-5.4173
TMEM262	0.21634	6.7589	1.8319	0.10184	0.24967	-5.4188
TGFBRAP1	-0.19394	6.4228	-1.8311	0.10196	0.2499	-5.4199
CADM4	0.18833	6.1803	1.8305	0.10206	0.25007	-5.4208
NFE2L3	0.33058	4.1875	1.8301	0.10213	0.25015	-5.4214
LOC730101	0.15784	6.1264	1.828	0.10246	0.25089	-5.4245
MAK16	0.37946	6.2338	1.8279	0.10248	0.25089	-5.4247
LINC00667	-0.27837	5.4844	-1.8274	0.10257	0.251	-5.4254
LRPPRC	-0.25303	5.8031	-1.8272	0.10259	0.251	-5.4256
MYO10	1.0435	5.1425	1.8269	0.10263	0.25101	-5.426
PRDM2	0.1998	6.0449	1.8268	0.10265	0.25101	-5.4262
KIDINS220	0.3426	9.2009	1.8258	0.10282	0.2513	-5.4277
TRIM22	-0.56261	6.5902	-1.8256	0.10285	0.2513	-5.428
F9	0.16628	3.0633	1.8256	0.10286	0.2513	-5.428
WBSCR22	0.27011	6.4134	1.8252	0.10291	0.25135	-5.4285
NRGN	0.36645	6.4637	1.8246	0.10301	0.25153	-5.4294
DPAGT1	-0.2424	7.17	-1.8243	0.10306	0.25158	-5.4299
MN1	0.73728	4.9926	1.8238	0.10314	0.25171	-5.4306
KIF3B	0.33367	4.8631	1.8235	0.10319	0.25175	-5.431
POLE3	-0.14	8.4452	-1.8221	0.10341	0.25223	-5.433
PSMA5	0.49152	6.6103	1.8213	0.10354	0.25247	-5.4342
APBA2	0.15082	4.7857	1.8201	0.10374	0.25281	-5.436
FARS2	-0.20091	5.1132	-1.82	0.10376	0.25281	-5.4361
HERC2P2	-0.53366	5.3035	-1.8199	0.10378	0.25281	-5.4363
ESRRA	-0.22647	6.8864	-1.8196	0.10381	0.25281	-5.4366
CCDC22	-0.22309	6.4525	-1.8195	0.10383	0.25281	-5.4367
TAGLN3	-0.16508	5.3496	-1.8191	0.1039	0.25288	-5.4374
ERLIN2	-0.15005	4.819	-1.819	0.10391	0.25288	-5.4375
CDKN2D	0.23778	6.1959	1.8185	0.104	0.25302	-5.4383
RAP1GAP	-0.24914	7.4573	-1.818	0.10407	0.25312	-5.4389
HTR2C	0.13475	2.6066	1.8174	0.10417	0.25323	-5.4398
ADAMTSL2	-0.16007	8.3022	-1.8174	0.10418	0.25323	-5.4398
SNAP25	0.16063	3.2027	1.8171	0.10423	0.2533	-5.4403
PGR	0.2075	2.4862	1.8162	0.10438	0.25357	-5.4416
RNGTT	0.21662	5.8524	1.816	0.10441	0.25357	-5.4419
ZBTB39	-0.15653	4.1706	-1.8157	0.10445	0.25362	-5.4423
GFPT2	0.16195	7.2062	1.8146	0.10464	0.25399	-5.4439
PGM3	0.16424	5.4133	1.8139	0.10475	0.2542	-5.4449
NDUFB5	-0.45632	7.937	-1.8135	0.10482	0.2543	-5.4455
PPM1B	0.49559	4.7	1.8133	0.10485	0.2543	-5.4458
GSS	0.24078	6.1227	1.8131	0.10488	0.2543	-5.4461
STEAP1	0.21477	4.7993	1.8121	0.10504	0.25461	-5.4475
ACIN1	-0.18485	8.1707	-1.8118	0.10509	0.25466	-5.4479
AVPR2	-0.18864	5.9824	-1.8109	0.10525	0.25497	-5.4493
TFAP4	-0.25818	6.8444	-1.8101	0.10537	0.25514	-5.4504
GSTT1	-0.18065	6.2644	-1.8101	0.10537	0.25514	-5.4504
IGF2BP3	0.4565	3.953	1.8094	0.10548	0.25531	-5.4514
RASA2	0.19958	4.7059	1.8093	0.1055	0.25531	-5.4516
NR1I3	0.22086	4.0911	1.8084	0.10566	0.25558	-5.4529
PGRMC2	-0.51752	5.5009	-1.8081	0.1057	0.25558	-5.4533
SLC30A3	0.13668	7.9354	1.8081	0.10571	0.25558	-5.4533
DNAJA1	0.58895	8.6543	1.8072	0.10585	0.25575	-5.4546
ARHGAP19	-0.40134	4.433	-1.807	0.10588	0.25575	-5.4549
POLR2D	0.3566	5.2995	1.807	0.10589	0.25575	-5.4549
TTC9	0.15435	2.2756	1.8069	0.10589	0.25575	-5.455
POFUT2	0.22575	6.1726	1.8065	0.10597	0.25585	-5.4556
NNAT	0.15338	7.3546	1.8063	0.10599	0.25585	-5.4558
GNL1	-0.30202	6.056	-1.8057	0.1061	0.25602	-5.4567
SKAP2	-0.38552	7.7983	-1.8053	0.10616	0.25611	-5.4573
STAG2	0.33817	6.0755	1.805	0.10622	0.25618	-5.4578
CA6	-0.164	3.3424	-1.8047	0.10626	0.25621	-5.4582
PI4KB	-0.28169	7.0524	-1.8043	0.10633	0.25621	-5.4587
TCEA1	-0.36956	8.501	-1.8043	0.10633	0.25621	-5.4588
SIT1	0.1892	5.9346	1.8042	0.10635	0.25621	-5.459
MTM1	-0.48885	5.18	-1.8038	0.10641	0.25628	-5.4595
VEZF1	0.30419	7.108	1.8036	0.10645	0.25628	-5.4598
COX10	-0.18681	5.0944	-1.8034	0.10647	0.25628	-5.46
POLE	-0.21786	6.327	-1.8031	0.10653	0.25629	-5.4605
B2M	0.22918	12.357	1.8031	0.10654	0.25629	-5.4606
ABCC10	-0.18764	7.4575	-1.8019	0.10673	0.2567	-5.4623
GRIK1	0.18876	3.1573	1.7996	0.10711	0.25754	-5.4655
ANGEL1	-0.15775	6.0843	-1.7991	0.1072	0.25767	-5.4663
CCDC28A	-0.2294	7.4916	-1.7989	0.10723	0.25767	-5.4666
MCF2	0.16777	3.575	1.7988	0.10726	0.25767	-5.4668
TLR6	-0.18501	5.8042	-1.7986	0.10729	0.25767	-5.467
BICD1	0.22088	3.2496	1.7981	0.10737	0.25775	-5.4678
FAT1	0.28938	4.2544	1.798	0.10738	0.25775	-5.4679
SLC8A1	0.19257	6.9452	1.7977	0.10743	0.2578	-5.4683
CASP6	-0.44351	3.9383	-1.7971	0.10753	0.25797	-5.4691
MON2	0.2104	3.5706	1.7967	0.1076	0.25805	-5.4697
FAM49A	0.46796	6.2318	1.7966	0.10762	0.25805	-5.4699
RNF4	0.33285	8.1494	1.796	0.10771	0.25814	-5.4707
ZFP36	-0.65845	10.13	-1.796	0.10772	0.25814	-5.4708
BCL2L11	0.15818	2.9881	1.7957	0.10777	0.25818	-5.4712
UCN	-0.16235	7.913	-1.7952	0.10786	0.25828	-5.472
GHRHR	0.21698	4.6321	1.7951	0.10787	0.25828	-5.4721
OPRM1	0.16596	4.0077	1.7945	0.10797	0.25845	-5.4729
HTN3	0.13496	2.4196	1.7937	0.10811	0.2587	-5.4741
PLK2	1.1521	4.8445	1.7931	0.10821	0.25887	-5.4749
SERPINA7	0.27547	2.7654	1.7927	0.10827	0.25895	-5.4755
ZC3H15	0.39283	6.8003	1.7922	0.10836	0.25908	-5.4762
HCG9	-0.21879	6.6733	-1.792	0.10839	0.25908	-5.4765
PSME4	0.4111	5.4349	1.7917	0.10845	0.25916	-5.477
C3orf27	-0.1441	5.2159	-1.7906	0.10862	0.2595	-5.4785
MARCH3	0.14677	2.3547	1.7904	0.10866	0.25952	-5.4788
TRIM21	-0.38662	6.7951	-1.7894	0.10883	0.25984	-5.4802
CEP162	0.17724	3.5236	1.7882	0.10903	0.26027	-5.4819
TESK1	-0.23712	7.5394	-1.788	0.10907	0.26029	-5.4823
DDX49	-0.25408	7.1241	-1.7868	0.10928	0.26071	-5.484
LRRC6	-0.20908	4.0566	-1.7858	0.10944	0.26103	-5.4854
CCL11	-0.1614	3.9364	-1.7855	0.10949	0.26104	-5.4858
GTF3C1	-0.2022	7.766	-1.7854	0.10951	0.26104	-5.486
SERPINB8	0.6326	8.2506	1.785	0.10958	0.26113	-5.4865
CD96	0.40426	3.4807	1.7844	0.10968	0.26123	-5.4874
GPX4	-0.45492	9.4571	-1.7844	0.10968	0.26123	-5.4874
IFNGR2	-0.49792	9.8841	-1.7839	0.10976	0.26136	-5.4881
TAGLN	-0.24295	7.4031	-1.7824	0.11003	0.26192	-5.4903
HOXC6	0.14504	5.8774	1.782	0.11009	0.26199	-5.4908
COLQ	0.15034	6.1462	1.7818	0.11013	0.26202	-5.4912
NCR3	0.20776	6.3961	1.781	0.11027	0.26226	-5.4923
SUPT7L	0.17808	4.6628	1.7801	0.11042	0.26255	-5.4936
DLG5	0.19141	3.8919	1.7794	0.11054	0.26277	-5.4946
ZNF7	-0.17081	5.1873	-1.7788	0.11065	0.26296	-5.4955
PTP4A1	0.4235	5.8607	1.7783	0.11072	0.26306	-5.4961
TCEB3-AS1	-0.1584	6.5678	-1.7778	0.11081	0.26312	-5.4969
CSTF3	-0.2196	5.8392	-1.7777	0.11084	0.26312	-5.4971
KIF25	-0.20837	5.4352	-1.7777	0.11084	0.26312	-5.4971
MYLPF	0.17013	4.6999	1.7751	0.11128	0.26409	-5.5007
FLNC	0.17678	6.4657	1.7748	0.11133	0.26414	-5.5012
NDUFB7	-0.40836	7.7814	-1.7741	0.11146	0.26438	-5.5022
ZNF271	-0.26844	4.7904	-1.7733	0.1116	0.26463	-5.5034
FANCI	0.17137	4.1455	1.7731	0.11163	0.26463	-5.5036
ITPKC	-0.18028	5.4419	-1.7726	0.11172	0.26471	-5.5044
SERPINB7	-0.17149	6.2054	-1.7724	0.11174	0.26471	-5.5046
RPS3	0.26435	11.098	1.7723	0.11177	0.26471	-5.5048
NOLC1	0.5797	5.6777	1.7722	0.11179	0.26471	-5.5049
BRF1	-0.17822	5.9445	-1.771	0.112	0.26514	-5.5067
CHAF1B	-0.20139	5.5516	-1.7707	0.11205	0.2652	-5.5071
BFSP2	-0.17786	3.8276	-1.7685	0.11242	0.266	-5.5102
KHDRBS1	-0.25938	8.7698	-1.7682	0.11248	0.26606	-5.5106
UPK1B	0.15211	5.4716	1.768	0.11252	0.2661	-5.511
FYB	-0.78023	5.5896	-1.7676	0.1126	0.2662	-5.5116
CLOCK	-0.14329	4.7807	-1.7663	0.11282	0.26662	-5.5134
WDR82	-0.22723	6.5498	-1.7662	0.11284	0.26662	-5.5135
UGT2B7	0.18433	3.2887	1.7657	0.11292	0.26668	-5.5142
GOLGA3	-0.27121	7.2515	-1.7655	0.11296	0.26668	-5.5146
MVP	-0.3882	7.9902	-1.7654	0.11297	0.26668	-5.5146
POU4F2	0.20157	3.0795	1.7653	0.11299	0.26668	-5.5147
CALR	-0.56731	8.9596	-1.7646	0.11312	0.26692	-5.5158
SCN2B	-0.17405	4.9321	-1.7632	0.11336	0.26739	-5.5178
HCN4	0.15127	5.4924	1.7629	0.11341	0.26739	-5.5182
PRPSAP2	-0.39502	4.7255	-1.7628	0.11343	0.26739	-5.5183
SLK	0.50073	5.9523	1.7626	0.11347	0.26739	-5.5186
CTNNA2	0.185	3.7054	1.7626	0.11348	0.26739	-5.5187
VDAC2	0.41258	8.0829	1.7621	0.11356	0.26752	-5.5194
TNFRSF8	-0.26281	6.0097	-1.7619	0.11359	0.26752	-5.5196
CS	-0.26974	8.1728	-1.7613	0.1137	0.26765	-5.5205
DLG1	-0.14165	2.5936	-1.7612	0.11371	0.26765	-5.5206
RAC2	0.54826	7.8455	1.7605	0.11385	0.2679	-5.5217
DKFZP434A062	0.16339	5.9002	1.7593	0.11405	0.2683	-5.5233
RPL23AP53	0.25658	2.6825	1.7588	0.11414	0.26844	-5.524
BDNF	0.18461	2.5975	1.7586	0.11418	0.26846	-5.5244
ARHGEF16	-0.19947	6.5705	-1.7583	0.11423	0.26852	-5.5248
TFAP2B	-0.25664	4.9549	-1.7578	0.11431	0.26863	-5.5254
WT1-AS	0.22351	5.1052	1.7575	0.11437	0.26869	-5.5259
COL3A1	0.49955	3.0788	1.7568	0.11449	0.26889	-5.5269
RAPGEF4	0.14437	2.1894	1.7566	0.11453	0.26891	-5.5272
SGK1	0.77383	9.3192	1.7564	0.11457	0.26893	-5.5275
MMP17	-0.19974	6.2718	-1.7557	0.11469	0.26915	-5.5285
CRELD1	-0.19863	6.2475	-1.7554	0.11475	0.26921	-5.5289
GTF2H1	0.36936	7.0227	1.7552	0.11479	0.26923	-5.5293
SALL2	0.14429	5.1659	1.7548	0.11486	0.26933	-5.5298
PRKRIR	0.25639	5.2626	1.7545	0.11491	0.26937	-5.5302
IL18	-0.47906	5.4564	-1.7526	0.11524	0.27007	-5.5329
OPHN1	-0.15687	2.5411	-1.7524	0.11529	0.27011	-5.5333
SLC26A10	0.15593	5.9365	1.7522	0.11532	0.27011	-5.5335
RORB	0.17108	2.6941	1.752	0.11535	0.27011	-5.5337
EXOSC10	-0.29605	5.5448	-1.7512	0.11549	0.27037	-5.5349
S1PR2	-0.17095	7.8617	-1.7509	0.11555	0.27043	-5.5353
LCN1	-0.24869	5.6029	-1.7502	0.11568	0.27066	-5.5364
JUND	0.42513	10.837	1.7499	0.11573	0.27069	-5.5367
CAPN3	-0.20237	6.3993	-1.7498	0.11576	0.27069	-5.537
SCTR	0.16798	5.9733	1.7496	0.11578	0.27069	-5.5372
CDK2AP1	0.33085	7.6814	1.7487	0.11594	0.27094	-5.5384
LUZP1	-0.16223	7.3605	-1.7487	0.11595	0.27094	-5.5385
HIST1H2AK	-0.17674	6.104	-1.7482	0.11604	0.27105	-5.5392
KLK10	0.1509	3.313	1.7477	0.11613	0.27119	-5.5399
FSCN1	-0.34975	7.6382	-1.7474	0.11619	0.27126	-5.5404
FOXA1	0.22413	2.4403	1.7458	0.11647	0.27184	-5.5426
ACSM2A	0.14019	2.2881	1.7453	0.11657	0.27193	-5.5434
HSD3B1	0.15689	3.583	1.7452	0.11657	0.27193	-5.5434
ENTPD5	-0.15314	5.0026	-1.745	0.11661	0.27195	-5.5437
DHPS	-0.15489	7.7228	-1.7445	0.1167	0.27197	-5.5444
NINJ1	-0.68738	9.6161	-1.7445	0.11671	0.27197	-5.5445
RHBDL1	-0.14992	7.1856	-1.7444	0.11673	0.27197	-5.5446
RCC1	-0.21682	5.9453	-1.7443	0.11674	0.27197	-5.5447
PLG	0.16688	4.5147	1.7439	0.11682	0.27207	-5.5454
LSAMP	0.18533	4.6971	1.7434	0.11691	0.27221	-5.5461
KPNB1	0.22436	5.1213	1.7431	0.11695	0.27224	-5.5464
SRSF4	-0.34169	8.2371	-1.7429	0.117	0.27227	-5.5468
SAP30	0.35416	4.3727	1.7414	0.11727	0.27283	-5.5489
C4BPA	0.13687	2.8591	1.7411	0.11731	0.27285	-5.5492
BAMBI	0.25884	4.0239	1.7408	0.11738	0.27294	-5.5497
YIF1A	-0.47323	7.3133	-1.7402	0.11749	0.27311	-5.5506
EMC2	-0.42435	5.6735	-1.7386	0.11778	0.27368	-5.5529
COL7A1	-0.22625	6.1209	-1.7384	0.11782	0.27368	-5.5532
CDC14BL	0.1879	3.8985	1.7383	0.11784	0.27368	-5.5533
WNT10B	0.17905	6.3743	1.7381	0.11786	0.27368	-5.5535
ST5	-0.1935	8.5593	-1.7379	0.11791	0.27372	-5.5539
ELANE	-0.31808	4.4489	-1.7372	0.11803	0.27393	-5.5548
ERCC2	-0.17729	5.8924	-1.7369	0.11808	0.27398	-5.5552
KRT19	-0.25013	4.0891	-1.736	0.11826	0.27424	-5.5565
TOP3B	-0.22339	5.9475	-1.736	0.11826	0.27424	-5.5566
HSD3B2	0.20821	4.3429	1.7355	0.11834	0.27436	-5.5572
HARS2	-0.20088	5.4209	-1.7346	0.11851	0.27467	-5.5585
TBC1D8	0.94799	6.8581	1.7342	0.11859	0.27478	-5.5591
LECT2	0.14264	2.8595	1.7337	0.11867	0.2749	-5.5597
DNAJB12	-0.22958	7.1777	-1.7333	0.11875	0.27501	-5.5604
IL10	-0.51883	6.382	-1.7316	0.11905	0.27564	-5.5627
LAPTM5	0.23579	11.535	1.7314	0.1191	0.27568	-5.5631
LINC00894	-0.1437	3.4394	-1.7312	0.11913	0.27568	-5.5633
C2orf72	0.1727	5.4331	1.7307	0.11922	0.2758	-5.564
SUPT20H	-0.30329	4.9877	-1.7305	0.11926	0.27583	-5.5643
GLYAT	-0.18364	3.2285	-1.7301	0.11934	0.27594	-5.5649
PAQR3	0.21717	2.4153	1.7288	0.11958	0.27623	-5.5667
PRG4	0.25129	2.3468	1.7287	0.11959	0.27623	-5.5668
PPP2R5A	0.22795	7.7803	1.7286	0.11961	0.27623	-5.5669
CHRND	-0.16609	5.8854	-1.7285	0.11964	0.27623	-5.5672
KPNA6	0.19534	6.7567	1.7283	0.11968	0.27623	-5.5675
CD47	0.20445	5.0801	1.7283	0.11968	0.27623	-5.5675
ARPC3	-0.22221	9.0128	-1.7282	0.11969	0.27623	-5.5676
INSIG2	0.33154	6.1205	1.7278	0.11976	0.2763	-5.5681
CEP250	-0.20109	6.4125	-1.7276	0.11979	0.27632	-5.5684
USP13	-0.20812	3.9022	-1.7273	0.11985	0.27638	-5.5688
NCKAP1	0.14036	4.01	1.7269	0.11993	0.27647	-5.5694
ELAVL3	-0.19333	6.6593	-1.726	0.12009	0.27677	-5.5706
EED	0.53071	6.9979	1.7254	0.1202	0.27696	-5.5715
POLR2B	0.31935	7.9092	1.7251	0.12027	0.27701	-5.5719
KLRAP1	0.16541	3.4261	1.725	0.12029	0.27701	-5.5721
TAF6L	-0.23687	7.9633	-1.7241	0.12045	0.27725	-5.5734
TMEM243	-0.37289	6.5706	-1.7241	0.12046	0.27725	-5.5734
MAP3K3	-0.24634	6.3786	-1.7238	0.1205	0.27728	-5.5738
VAMP1	-0.20533	6.0721	-1.7236	0.12054	0.2773	-5.5741
CAMTA1	0.32269	3.5992	1.7234	0.12057	0.2773	-5.5743
PDE12	0.16194	2.7078	1.7229	0.12067	0.27744	-5.575
GPER1	-0.22698	5.4074	-1.7225	0.12075	0.27755	-5.5756
PPP1R16B	0.56094	4.6653	1.7218	0.12088	0.27777	-5.5766
STAT3	0.28502	8.1629	1.7207	0.12109	0.27818	-5.5782
SH3YL1	-0.4336	4.7746	-1.7195	0.12131	0.27851	-5.5799
CYP4F12	-0.21077	6.882	-1.7194	0.12132	0.27851	-5.5799
CNIH1	0.47053	8.985	1.7194	0.12133	0.27851	-5.58
COL4A6	0.15581	3.9122	1.719	0.1214	0.27861	-5.5805
DLGAP5	0.15439	3.0507	1.7188	0.12144	0.27862	-5.5808
TCTN3	-0.22097	4.5175	-1.7173	0.12173	0.2792	-5.583
BHMT	0.19547	4.3382	1.7171	0.12176	0.2792	-5.5832
RAMP1	-0.18124	3.7485	-1.7166	0.12186	0.27934	-5.5839
SF3B2	-0.2188	8.4301	-1.7164	0.1219	0.27934	-5.5843
NME1	0.57775	6.7006	1.7163	0.12192	0.27934	-5.5844
ARPC5	-0.23023	9.9021	-1.7159	0.12199	0.27943	-5.5849
SNRNP35	-0.21968	5.5091	-1.714	0.12235	0.28017	-5.5876
CSF2RB	-0.27247	7.1793	-1.7139	0.12238	0.28017	-5.5878
ALK	-0.25496	5.1309	-1.7133	0.12249	0.28035	-5.5886
BET1	0.34057	4.4428	1.7129	0.12256	0.28037	-5.5892
CADPS	0.16578	2.453	1.7128	0.12257	0.28037	-5.5893
CROCC	-0.13936	6.8548	-1.7127	0.12259	0.28037	-5.5894
WWTR1	0.14147	2.4164	1.7125	0.12263	0.28039	-5.5897
PDE4B	1.6348	6.4184	1.7118	0.12277	0.28062	-5.5907
HOXA10	0.16738	2.9759	1.7115	0.12282	0.28066	-5.5911
LINC01138	-0.16281	4.906	-1.7113	0.12286	0.28068	-5.5914
DDX51	-0.20681	6.2293	-1.7102	0.12306	0.28099	-5.5929
PDE8A	0.67552	7.3376	1.7102	0.12306	0.28099	-5.5929
NDUFS1	-0.33527	6.2695	-1.71	0.12311	0.28104	-5.5933
OGDH	-0.30706	7.4361	-1.7098	0.12315	0.28104	-5.5935
LINC00950	0.16326	2.7516	1.7091	0.12327	0.28122	-5.5944
LINC01278	-0.20514	4.8874	-1.709	0.12329	0.28122	-5.5946
HOMER2	0.13903	6.1696	1.7073	0.12363	0.28184	-5.5971
NUDT4	0.3484	4.1584	1.7073	0.12363	0.28184	-5.5971
OCEL1	-0.19096	6.7818	-1.7066	0.12375	0.28199	-5.598
PTBP3	-0.38838	4.2119	-1.7066	0.12376	0.28199	-5.5981
ASH2L	-0.32739	5.0728	-1.7064	0.12379	0.28199	-5.5983
PIK3C2B	-0.19251	4.556	-1.7062	0.12383	0.28199	-5.5986
KCNQ3	-0.22271	5.7943	-1.7058	0.1239	0.28199	-5.5991
POLDIP3	-0.148	7.1143	-1.7058	0.12391	0.28199	-5.5992
POU3F1	-0.20865	4.9031	-1.7057	0.12392	0.28199	-5.5993
MPZL2	0.18005	2.9682	1.7049	0.12407	0.28226	-5.6004
STOML1	-0.16061	6.2042	-1.704	0.12425	0.28258	-5.6016
CLCNKA	0.17333	7.335	1.7035	0.12436	0.28273	-5.6024
PVALB	0.15488	4.7746	1.7033	0.12438	0.28273	-5.6026
CDV3	0.22597	9.42	1.7031	0.12443	0.28277	-5.603
TFDP1	-0.23456	6.8608	-1.7024	0.12456	0.28298	-5.6039
PICK1	-0.17738	7.4589	-1.7021	0.12461	0.28304	-5.6043
HCN2	-0.25394	2.6974	-1.7014	0.12476	0.28329	-5.6054
ZNF136	-0.16693	5.2389	-1.7009	0.12486	0.2834	-5.6061
FBXO21	0.14468	4.7855	1.7008	0.12487	0.2834	-5.6062
GZMK	1.0975	5.7956	1.7001	0.125	0.28351	-5.6071
ZNF85	-0.24998	3.9349	-1.7	0.12502	0.28351	-5.6073
GNA11	-0.15543	5.8349	-1.7	0.12502	0.28351	-5.6073
TRIM23	0.37512	6.8691	1.6987	0.12527	0.28397	-5.6091
RBM15B	-0.19482	6.8362	-1.6986	0.12528	0.28397	-5.6092
ALPL	0.22409	6.7327	1.6982	0.12537	0.28409	-5.6099
COL4A3	0.11472	3.5208	1.6964	0.12571	0.28479	-5.6123
RASSF7	-0.18393	8.1974	-1.6938	0.12622	0.28572	-5.6159
NKX3-1	-0.15722	4.6796	-1.6938	0.12622	0.28572	-5.616
SERPINF2	-0.18733	7.2524	-1.6938	0.12622	0.28572	-5.616
ZNF518A	-0.17693	4.6939	-1.6929	0.12641	0.28603	-5.6173
OGT	0.38879	6.7256	1.6928	0.12643	0.28603	-5.6175
HTR1D	0.1933	5.137	1.6926	0.12646	0.28603	-5.6177
PRLR	0.16982	4.4346	1.6924	0.12649	0.28603	-5.6179
PSG11	-0.18545	6.2263	-1.6921	0.12655	0.28607	-5.6183
TALDO1	-0.34205	10.516	-1.6919	0.12659	0.28609	-5.6186
COQ7	-0.2265	4.5544	-1.6905	0.12687	0.28655	-5.6206
AGTR1	0.1641	3.8628	1.6905	0.12687	0.28655	-5.6206
GYPA	-0.20752	5.0689	-1.6904	0.12689	0.28655	-5.6208
PTPN13	0.19794	3.311	1.69	0.12696	0.28663	-5.6213
SCN7A	0.15425	3.1568	1.6895	0.12705	0.28677	-5.622
RANBP9	0.30326	5.661	1.689	0.12716	0.28692	-5.6227
DES	-0.17044	6.3585	-1.6887	0.12722	0.28692	-5.6231
YLPM1	-0.1446	3.2213	-1.6887	0.12722	0.28692	-5.6231
GJA1	0.16178	4.4159	1.6874	0.12748	0.28743	-5.625
MAGEA4	0.19214	3.4648	1.6869	0.12757	0.2875	-5.6256
FGFR3	0.13985	4.8046	1.6869	0.12758	0.2875	-5.6257
PTPRA	-0.24843	6.1539	-1.6866	0.12763	0.28753	-5.626
GPR50	-0.1455	8.2871	-1.6863	0.12769	0.28758	-5.6265
HDAC9	0.447	3.9996	1.6862	0.12771	0.28758	-5.6267
ZNF75D	-0.27425	3.9041	-1.6857	0.12782	0.28771	-5.6274
POLR1C	0.24926	5.8835	1.6856	0.12784	0.28771	-5.6275
KMO	0.74779	5.3883	1.6852	0.12791	0.2878	-5.628
ABI2	0.19695	4.5296	1.6837	0.1282	0.28835	-5.6301
ARTN	-0.2011	6.7697	-1.6836	0.12822	0.28835	-5.6303
GATA3	0.2562	4.3788	1.6833	0.12829	0.28843	-5.6307
BMP8A	-0.2836	5.3904	-1.6829	0.12835	0.28849	-5.6312
RAB30	0.13712	4.0893	1.6825	0.12845	0.28863	-5.6319
SNRPD3	0.19725	6.3629	1.682	0.12854	0.28876	-5.6325
SFT2D2	0.29433	5.5393	1.6812	0.1287	0.28904	-5.6336
CD79B	-0.25483	5.2082	-1.681	0.12874	0.28905	-5.6339
CGREF1	0.19116	4.9479	1.6809	0.12877	0.28905	-5.6341
RBM4B	-0.16825	6.6141	-1.6793	0.12908	0.28968	-5.6363
MED6	0.20204	5.332	1.6789	0.12915	0.28975	-5.6368
PLCG2	-0.25392	7.2827	-1.6785	0.12924	0.28984	-5.6374
SDC4	0.57448	7.2947	1.6784	0.12926	0.28984	-5.6375
GLG1	-0.18023	6.929	-1.6779	0.12935	0.28998	-5.6382
ST3GAL4	-0.19597	7.3888	-1.6777	0.12939	0.29	-5.6385
LIPC	-0.14586	2.9304	-1.677	0.12953	0.29024	-5.6395
APC2	0.15116	6.7889	1.6762	0.12969	0.29047	-5.6406
BMP2K	-0.6296	5.2593	-1.6761	0.12971	0.29047	-5.6407
CITED2	-0.62006	7.3773	-1.6748	0.12997	0.29096	-5.6425
NEBL	0.12583	3.4979	1.6747	0.12999	0.29096	-5.6427
ZNF157	0.12877	5.0118	1.6736	0.13021	0.29129	-5.6442
ABCC4	-0.20241	3.2121	-1.6735	0.13023	0.29129	-5.6443
PCDHGA8	0.17606	2.3119	1.6734	0.13026	0.29129	-5.6445
MSC	1.3583	8.5935	1.6733	0.13027	0.29129	-5.6447
GAS1	0.13537	5.1458	1.6731	0.13031	0.29129	-5.6449
LCP1	0.25605	10.139	1.6729	0.13036	0.29132	-5.6452
MLLT3	0.21238	4.316	1.6713	0.13068	0.29193	-5.6475
MYO1A	-0.19712	5.3112	-1.6712	0.1307	0.29193	-5.6476
XYLT1	0.63393	6.3863	1.6707	0.1308	0.29202	-5.6483
CDH8	0.18631	3.136	1.6704	0.13085	0.29202	-5.6486
CSN2	0.14706	7.2682	1.6704	0.13085	0.29202	-5.6486
